step,action,psnr_value,mse_value,ssim_value
1,12742,35.819664969507095,17.0260484113236,0.0007321656973528035
2,16389,34.86328864863302,21.220298856561737,0.004619913514037918
3,10584,34.85979827134936,21.237360233922583,0.009913744819204014
4,10162,34.857155967928,21.250285248197198,0.011229646134632539
5,12035,35.48638349137188,18.38408467800505,0.017620371484902878
6,10472,35.52845188582541,18.206865011057648,0.021413739395230037
7,4311,36.06100260041671,16.105718378254664,0.015494435121143825
8,6263,36.06484324524701,16.091481724645277,0.009168227182582093
9,19803,36.06472903329119,16.09190490841637,0.00712491550017686
10,4137,36.184285873148546,15.654953196688982,-0.015612801330273778
11,9916,35.638355127769834,17.751900217770483,-0.028793683831987788
12,2556,35.56039816679406,18.073428452365143,0.008934452986878637
13,15253,35.42373252780465,18.65121412754877,-0.027311395578531114
14,16350,35.733709816157294,17.366383179330338,-0.012361093216162355
15,4279,35.612714652722566,17.857016322393047,-0.016574355581394678
16,1430,35.16354456874518,19.802768204462623,-0.008321133622333611
17,15822,35.61170357166735,17.861174098625888,0.028785780169370927
18,9352,36.01818570618745,16.265289227056755,0.08400972277198344
19,20620,35.87565512915781,16.80795388890759,0.04042507545447961
20,16452,36.076593460535015,16.048003663338882,0.05323092472453508
21,14123,35.497815063042026,18.335757416004128,0.03149502794006036
22,9964,36.0453599229978,16.16383351279944,0.0952204773056007
23,19299,35.97264331494111,16.436753016780397,0.07723175170853676
24,17558,36.196242954921544,15.611910948768607,0.06108498894798801
25,16423,36.044738800407515,16.166145409571598,-0.022808167513792416
26,1947,35.861832561571354,16.861534858772064,0.11691828829768205
27,9534,36.322694845381335,15.163898762867136,0.05853769400649342
28,13560,35.73635659557956,17.355802574725065,0.13702820673190924
29,3916,35.69374303977435,17.526938262502224,0.08412508085452222
30,5555,35.69385096487292,17.526502711714684,0.08392409858088426
31,1119,35.988771782394856,16.37582477490686,0.10851690837978131
32,1205,36.11482659496311,15.907345043082525,0.11654097170426334
33,467,36.25806222591943,15.391258710936642,0.25142138047688356
34,19366,36.06010194016891,16.109058803968612,0.26327381221348484
35,16847,35.89523739093447,16.732337724640956,0.2145603069077141
36,2185,36.011144505250726,16.291681471480384,0.2361347409792246
37,13186,36.079751418154636,16.036338653415058,0.2616029423455494
38,4804,36.03814022009746,16.190726585048303,0.20757222086445393
39,9210,36.22547193190357,15.507192128691502,0.1894198648581444
40,8296,35.8976341369526,16.723106177469262,0.08635064928105735
41,4710,35.997664054998815,16.342329225809078,0.09707213974076506
42,2560,36.075569703027824,16.05178708714199,0.13775406587410985
43,10899,36.599096407281436,14.228880111326212,0.1489031736063854
44,10427,36.65465946972499,14.047997261313334,0.20768907082233884
45,4559,36.3748111617928,14.9830160482114,0.27331803400802446
46,4011,36.488007882777744,14.597536592299365,0.15239811087322713
47,20522,36.80109285801204,13.582229830442571,0.23257598328499274
48,4495,36.10427678913791,15.94603386035532,0.290263592849397
49,19212,36.12378015459883,15.874583713440169,0.3105814391973838
50,13217,36.670655078718056,13.996351896798453,0.21300504245487295
51,17005,37.358778514174006,11.945449852616541,0.37908518976805805
52,12105,37.387818112886634,11.865841683102433,0.4570466706799172
53,659,37.16277095051967,12.496927946396413,0.36253723944097566
54,4686,36.95980784200051,13.094821315566419,0.4304564525031369
55,13732,37.029409612410134,12.886631197636849,0.42367775947531494
56,5953,37.77157784742004,10.862319582890056,0.4763125345882176
57,240,37.566867629912515,11.386587763635523,0.44442409024581764
58,8903,37.14370674882356,12.551906224957953,0.5005862202707146
